	
    +0	    +0		  +122	  +122		   -14	   -14		  +356	  +356		  +206	  +206		  +557	  +557		  +384	  +384		  +452	  +452		
  +504	  +504		  +796	  +796		  +815	  +815		  +818	  +818		  +804	  +804		  +775	  +775		  +477	  +477		  +423	  +423		
  +616	  +616		  +546	  +546		  +214	  +214		  +136	  +136		  +315	  +315		   -17	   -17		   -87	   -87		  +105	  +105		
   +49	   +49		    +2	    +2		  -290	  -290		  -315	  -315		  -330	  -330		  -335	  -335		  -330	  -330		  -316	  -316		
  -295	  -295		  -268	  -268		   +18	   +18		   +52	   +52		   +85	   +85		  +118	  +118		  -109	  -109		   -84	   -84		
   -65	   -65		   -53	   -53		   -48	   -48		   -51	   -51		   -62	   -62		   -80	   -80		  -106	  -106		  +119	  +119		
   +84	   +84		   +45	   +45		    +4	    +4		  -292	  -292		  -331	  -331		  -368	  -368		  -144	  -144		  -170	  -170		
  -190	  -190		  -203	  -203		  -208	  -208		  -205	  -205		  -194	  -194		  -177	  -177		  -153	  -153		  -381	  -381		
  -349	  -349		  -315	  -315		  -282	  -282		    +5	    +5		   +33	   +33		   +56	   +56		   +71	   +71		   +79	   +79		
   +76	   +76		   +64	   +64		   +40	   +40		    +6	    +6		  -293	  -293		  -347	  -347		  -153	  -153		  -223	  -223		
  -553	  -553		  -631	  -631		  -453	  -453		  -785	  -785		  -857	  -857		  -666	  -666		  -722	  -722		  -767	  -767		
 -1055	 -1055		 -1072	 -1072		 -1073	 -1073		 -1058	 -1058		 -1026	 -1026		  -721	  -721		  -657	  -657		  -833	  -833		
  -485	  -485		  -637	  -637		  -525	  -525		  -150	  -150		  -284	  -284		   +95	   +95		   -41	   -41		  +331	  +331		
  +183	  +183		  +537	  +537		  +622	  +622		  +438	  +438		  +494	  +494		  +789	  +789		  +812	  +812		  +818	  +818		
  +808	  +808		  +783	  +783		  +488	  +488		  +437	  +437		  +631	  +631		  +562	  +562		  +232	  +232		  +154	  +154		
  +332	  +332		  +256	  +256		   -72	   -72		  +118	  +118		   +60	   +60		   +12	   +12		  -282	  -282		  -310	  -310		
  -328	  -328		  -335	  -335		  -332	  -332		  -320	  -320		  -300	  -300		  -274	  -274		   +11	   +11		   +44	   +44		
   +78	   +78		  +110	  +110		  -115	  -115		   -89	   -89		   -69	   -69		   -55	   -55		   -49	   -49		   -50	   -50		
   -59	   -59		   -76	   -76		   -99	   -99		  +127	  +127		   +92	   +92		   +54	   +54		   +13	   +13		  -283	  -283		
  -322	  -322		  -360	  -360		  -137	  -137		  -165	  -165		  -186	  -186		  -201	  -201		  -207	  -207		  -206	  -206		
  -197	  -197		  -181	  -181		  -159	  -159		  -131	  -131		  -356	  -356		  -323	  -323		  -289	  -289		  -257	  -257		
   +27	   +27		   +51	   +51		   +68	   +68		   +78	   +78		   +78	   +78		   +67	   +67		   +47	   +47		   +15	   +15		
  -282	  -282		  -334	  -334		  -139	  -139		  -207	  -207		  -536	  -536		  -613	  -613		  -435	  -435		  -512	  -512		
  -841	  -841		  -652	  -652		  -710	  -710		  -758	  -758		 -1049	 -1049		 -1069	 -1069		 -1074	 -1074		 -1063	 -1063		
 -1035	 -1035		  -734	  -734		  -673	  -673		  -853	  -853		  -507	  -507		  -406	  -406		  -551	  -551		  -177	  -177		
